,track_id,danceability,energy,key,loudness,mode,valence,tempo,time_signature,era,era_encode
0,2fEp77SOIPbuUyuzbkgyKM,0.391,0.191,7.0,-25.097,1.0,0.44,99.848,4.0,baroque,0.0
1,3LmCntgicKkQGLh5tz2EGJ,0.294,0.042,7.0,-24.615,1.0,0.489,106.811,1.0,baroque,0.0
2,0yHToYT14aTj5b8maW1p3r,0.412,0.0785,7.0,-23.668,1.0,0.653,99.847,3.0,baroque,0.0
3,1McTuvXDbpFJlHgIdTstST,0.17,0.019,4.0,-25.183,0.0,0.163,174.32,4.0,baroque,0.0
4,71I4fBq2l7wwF2KqA5MNhE,0.543,0.0461,7.0,-23.747,1.0,0.44,120.848,4.0,baroque,0.0
5,4wIqzH5G9GUmQTFfh4yxf5,0.503,0.0236,7.0,-24.251,1.0,0.687,118.847,5.0,baroque,0.0
6,7kAqMEtre1LI6K5J1q8yOF,0.228,0.0664,2.0,-23.319,0.0,0.14,79.151,4.0,baroque,0.0
7,4aimQGBFXfIdmfAaKHyzsM,0.37,0.0318,2.0,-24.398,0.0,0.442,67.625,3.0,baroque,0.0
8,4kFn6c4p8olmEjr0nUMkcP,0.388,0.191,5.0,-21.885,1.0,0.681,96.301,4.0,baroque,0.0
9,1rCZFOZRys3O6EmQvXVbqT,0.236,0.0155,5.0,-26.057,1.0,0.0784,133.247,4.0,baroque,0.0
10,1qWbCV9bg2sTZH6sIQMNOi,0.441,0.0315,2.0,-23.091,0.0,0.421,131.367,5.0,baroque,0.0
11,6yeH7FHygYCmK6GHOznk37,0.407,0.0767,2.0,-23.411,0.0,0.497,88.271,4.0,baroque,0.0
12,5DnLqnmjv2xpyOukgzCr1k,0.43,0.135,0.0,-23.997,1.0,0.334,91.524,3.0,baroque,0.0
13,2q0vOQfOx0v6pNkTbPgS6c,0.569,0.047,0.0,-24.461,1.0,0.641,107.441,4.0,baroque,0.0
14,4phoMGdd4KHJ9R2vxSueOa,0.499,0.106,0.0,-25.29,1.0,0.833,88.955,4.0,baroque,0.0
15,2iB11UslmMS9M64BNQ5y6h,0.165,0.0131,0.0,-26.143,1.0,0.141,79.996,3.0,baroque,0.0
16,3Ror6mdgBpRxwNogVehe8H,0.384,0.0428,0.0,-25.723,1.0,0.592,75.64,3.0,baroque,0.0
17,36ehOb9Qsd6Mb8Uqrb36De,0.487,0.0489,7.0,-22.628,1.0,0.576,97.732,4.0,baroque,0.0
18,6e8xS424Pw7ai6EtYp7GTN,0.215,0.0469,3.0,-25.503,1.0,0.408,194.641,4.0,baroque,0.0
19,4aVux9BXKhJWvvGgQPEFix,0.346,0.0261,0.0,-25.548,0.0,0.623,88.047,4.0,baroque,0.0
20,2obKVSCrz2cPTsuFJhsSNT,0.552,0.0706,0.0,-24.027,0.0,0.619,108.744,3.0,baroque,0.0
21,6QxvKmbPw9nARCiw1a1QpR,0.381,0.00344,3.0,-26.471,1.0,0.355,120.842,5.0,baroque,0.0
22,65AzUuIa575WhwYYJuWL0t,0.568,0.0323,3.0,-25.471,1.0,0.642,124.364,4.0,baroque,0.0
23,4d9VpyQNyi4jHeG38bUwu1,0.439,0.119,3.0,-26.115,1.0,0.809,67.836,3.0,baroque,0.0
24,4NPbEpoWYfwy0otjb6ZdB6,0.353,0.0874,0.0,-23.762,0.0,0.387,163.403,4.0,baroque,0.0
25,41EW9qtR45aoQwV75J6F0X,0.267,0.018,0.0,-25.994,0.0,0.387,76.576,3.0,baroque,0.0
26,6JSYeBgumGhBBDNLMZOyaB,0.43,0.0313,0.0,-23.647,0.0,0.58,132.105,5.0,baroque,0.0
27,3UjnAjOB5Vb3aaWU1Bufdv,0.21,0.00385,0.0,-30.866,0.0,0.0805,84.1,4.0,baroque,0.0
28,4YWKS7oIKAL8mPJ0YHxf57,0.302,0.037,3.0,-24.462,1.0,0.543,60.803,4.0,baroque,0.0
29,3yBB2Sy58hXPgy5YCnaS6a,0.554,0.0255,3.0,-25.482,1.0,0.6,69.216,4.0,baroque,0.0
30,7ByUnEw9AFxKmb1qGyimUv,0.248,0.0342,2.0,-24.854,1.0,0.475,78.846,4.0,baroque,0.0
31,0hPinigYZmTJMTDq45aoVe,0.202,0.0106,2.0,-28.725,1.0,0.199,99.861,3.0,baroque,0.0
32,5sOnkjt1CqIwdXDShRToDN,0.507,0.0489,11.0,-26.854,0.0,0.801,110.791,3.0,baroque,0.0
33,63fCVMNrlXD2zA1Ipoiqoz,0.154,0.0103,2.0,-25.725,1.0,0.111,80.572,1.0,baroque,0.0
34,4iCahKYTypb5VtI4b0NnTt,0.435,0.0386,2.0,-22.374,1.0,0.604,143.827,3.0,baroque,0.0
35,4gbItqi4AAofLzgUMC1wAQ,0.439,0.0371,2.0,-22.815,1.0,0.716,97.702,4.0,baroque,0.0
36,39g1hThrRrmkbtcSey9bVD,0.271,0.015,7.0,-30.943,1.0,0.182,76.393,4.0,baroque,0.0
37,70qXVJxUhH8OzV3hpgb0NR,0.346,0.261,7.0,-20.607,1.0,0.967,91.804,4.0,baroque,0.0
38,4WAfCITawsyNR8oMsdcRAV,0.207,0.198,7.0,-22.309,1.0,0.84,166.163,4.0,baroque,0.0
39,43Uo7AR2izzmoaFpGX0UUn,0.329,0.109,7.0,-25.522,1.0,0.352,130.529,5.0,baroque,0.0
40,6OPKYX4CpXdLsV8SHfdQGK,0.468,0.311,7.0,-16.053,1.0,0.915,93.641,4.0,baroque,0.0
41,0JoDIX380hr2bzoVkXe01l,0.268,0.259,7.0,-18.326,1.0,0.954,146.252,4.0,baroque,0.0
42,35LIy8TNZILKnCEpF0yled,0.179,0.217,7.0,-21.528,1.0,0.807,163.737,3.0,baroque,0.0
43,1ENZ1YHuOp5MMFJlWBQ6V7,0.31,0.0555,7.0,-25.695,1.0,0.566,70.515,4.0,baroque,0.0
44,4RxiO5La9EdiiyEWWCrnjs,0.339,0.335,7.0,-19.368,1.0,0.952,99.423,3.0,baroque,0.0
45,6anPmZ3XrW412xWHSadvUz,0.45,0.102,7.0,-25.068,1.0,0.528,120.112,4.0,baroque,0.0
46,6EWNeOYiWSjmr9zmRHrk2t,0.452,0.278,7.0,-16.373,1.0,0.795,80.274,4.0,baroque,0.0
47,3oJPyOMv0WWG4BkygxECAk,0.155,0.157,7.0,-25.514,1.0,0.658,167.116,4.0,baroque,0.0
48,5ODSO9cjrslMWJRGuzTGDk,0.262,0.367,7.0,-17.943,1.0,0.924,91.547,4.0,baroque,0.0
49,4rljb8DJ6fMXd58H80YiXv,0.311,0.0492,7.0,-28.261,1.0,0.181,70.783,3.0,baroque,0.0
50,5OFnuz2r7BcPaKnm9YGDL4,0.342,0.225,7.0,-18.497,1.0,0.873,89.886,4.0,baroque,0.0
51,3htlkJt39tezqZTTqlImIz,0.422,0.00911,7.0,-32.554,0.0,0.184,87.348,4.0,baroque,0.0
52,5ElsFrbsu9tag4pQ1mXuOq,0.281,0.279,7.0,-16.555,1.0,0.634,73.108,4.0,baroque,0.0
53,7DVX6NbGPNhEUQxE0ggbno,0.435,0.233,7.0,-22.655,1.0,0.851,100.208,3.0,baroque,0.0
54,34oqGHkMxWeGewvUL6G5tQ,0.388,0.172,7.0,-23.605,1.0,0.737,76.542,4.0,baroque,0.0
55,3lhulniFV4BOQzRUnVmVUQ,0.273,0.254,7.0,-23.334,1.0,0.963,154.225,4.0,baroque,0.0
56,6JaFMDE635qbY1PNj55xtC,0.164,0.173,7.0,-21.26,1.0,0.698,58.762,5.0,baroque,0.0
57,1ouYsZqCz2zGfeSn24sADD,0.445,0.0421,0.0,-27.066,0.0,0.356,117.32,4.0,baroque,0.0
58,0iNeHbUICKpALkERbwa6Qe,0.238,0.297,7.0,-18.122,1.0,0.663,181.653,4.0,baroque,0.0
59,6zpHR4LuZ4uhwIcIQy2EyJ,0.46,0.283,7.0,-18.819,1.0,0.909,87.866,4.0,baroque,0.0
60,1BD72gFuYP0BBfIXaO1uqv,0.272,0.0955,7.0,-26.102,1.0,0.58,102.326,4.0,baroque,0.0
61,1Sz5ro9ZeOHkLrM6uHvs7T,0.294,0.0103,0.0,-31.847,0.0,0.0774,66.493,4.0,baroque,0.0
62,4uMnJUqMCVYzTMX2vLNZca,0.322,0.262,7.0,-18.813,1.0,0.696,105.023,3.0,baroque,0.0
63,6oIT9CCBk6arD683rPjeIn,0.292,0.252,7.0,-21.234,1.0,0.85,117.123,3.0,baroque,0.0
64,3XSkeyOiKBzLDvH7znTSXO,0.387,0.252,7.0,-20.014,1.0,0.621,92.823,4.0,baroque,0.0
65,6G6deqz7RqtpQ4TlB9EOCh,0.305,0.338,7.0,-16.173,1.0,0.759,97.072,1.0,baroque,0.0
66,4hiP6lLoHzIoCo7PzFWl40,0.409,0.0785,7.0,-23.556,1.0,0.321,108.873,4.0,baroque,0.0
67,1EgmU8SqolKrtFOaHSm4bw,0.369,0.0119,7.0,-33.93,1.0,0.128,69.357,4.0,baroque,0.0
68,4imIkTBDKClmNF3S7OgXAD,0.304,0.0229,7.0,-27.699,1.0,0.182,92.521,4.0,baroque,0.0
69,1frmvMrTLycwxI0FrEaoSL,0.295,0.286,7.0,-19.975,1.0,0.931,98.606,4.0,baroque,0.0
70,5eFRhRaKNanRT4wjuKMGpp,0.293,0.223,7.0,-20.53,1.0,0.75,81.04,4.0,baroque,0.0
71,0zyrBa06tJPHMi39qR83bk,0.332,0.0763,7.0,-25.492,1.0,0.42,133.212,3.0,baroque,0.0
72,1JACXDZKOZtO6fcLiZFQq9,0.39,0.285,7.0,-14.71,1.0,0.931,96.091,1.0,baroque,0.0
73,5H6W1NhRUgHg2mpme6VQDf,0.295,0.259,7.0,-18.048,1.0,0.867,140.571,3.0,baroque,0.0
74,6Gm2Q00jNcrhB4yzmHt3Nh,0.181,0.282,7.0,-18.845,1.0,0.843,181.692,3.0,baroque,0.0
75,7Hs7zOCQFgk0zRQBIxz6oq,0.444,0.0593,7.0,-23.746,1.0,0.475,65.104,4.0,baroque,0.0
76,3wi8pi4eQQAWNQZlgoKxy5,0.212,0.288,7.0,-19.395,1.0,0.894,93.423,3.0,baroque,0.0
77,2pixA31Hj5cftSyrJ3flg5,0.428,0.0599,7.0,-25.658,1.0,0.399,112.668,4.0,baroque,0.0
78,674hGEcwQT02i26VfSjCoG,0.401,0.218,7.0,-17.22,1.0,0.706,82.063,4.0,baroque,0.0
79,3Gt2ceglrqKxgn9BUVnfAI,0.299,0.134,7.0,-24.081,1.0,0.575,85.289,4.0,baroque,0.0
80,1EmMppsbWQjFGlPxM8J1PI,0.171,0.337,7.0,-17.636,1.0,0.902,87.396,3.0,baroque,0.0
81,4y7EJzhlO8SLH2nVQ6qodX,0.261,0.0316,7.0,-28.192,1.0,0.228,71.959,3.0,baroque,0.0
82,5GODaxEjtHZqjL5HcDcQD3,0.373,0.196,7.0,-19.03,1.0,0.679,90.161,4.0,baroque,0.0
83,48iX2gJLqDqQGCzXfFG8Gn,0.356,0.00337,7.0,-34.584,0.0,0.153,80.469,4.0,baroque,0.0
84,6z5br7TMKZGShmxYd3tYNN,0.381,0.285,7.0,-15.457,1.0,0.478,106.577,4.0,baroque,0.0
85,72z36ksKbGbEHea9h8iYkq,0.364,0.226,7.0,-22.451,1.0,0.891,97.66,4.0,baroque,0.0
86,4f9POv5tciHZcKDLFlNlTl,0.286,0.259,6.0,-15.814,0.0,0.147,75.828,4.0,baroque,0.0
87,5oXhtjmH8DiJEYpgXTsH5Z,0.474,0.0733,11.0,-20.685,0.0,0.216,109.2,4.0,baroque,0.0
88,2vAkyBnOI91PRtYCwNlYrG,0.125,0.156,9.0,-20.104,1.0,0.0607,168.503,4.0,baroque,0.0
89,78aisEpZ9CAEF0of9z3GHF,0.36,0.0699,6.0,-22.701,0.0,0.114,173.48,3.0,baroque,0.0
90,2Ar6qNS9Fu97SCVD8uQwuH,0.218,0.176,1.0,-19.784,0.0,0.424,82.423,4.0,baroque,0.0
91,1nBIH5GDItHMdBv0DNQO2C,0.472,0.083,6.0,-21.035,0.0,0.334,121.791,1.0,baroque,0.0
92,0f8AiwNiHJnMrQ9tgP8OF4,0.319,0.099,1.0,-23.016,0.0,0.242,88.416,3.0,baroque,0.0
93,5NWkjRr8ubFLKMAynHywtE,0.0,0.0277,9.0,-26.198,1.0,0.0,0.0,0.0,baroque,0.0
94,4XKcWQYVD0pJNEhKzHTBvu,0.43,0.0161,9.0,-23.514,1.0,0.297,117.034,3.0,baroque,0.0
95,6bNC4Sci6BXAy4dGIXecIS,0.428,0.0932,11.0,-21.897,1.0,0.269,80.703,4.0,baroque,0.0
96,4NwLbFORppst9Eph71jt3N,0.178,0.131,8.0,-20.421,1.0,0.377,79.462,5.0,baroque,0.0
97,2Z4KFFVFPh1ZUxP43JTsjI,0.399,0.131,5.0,-22.255,0.0,0.121,102.624,3.0,baroque,0.0
98,706xftDgxhLXtudwI0RWqs,0.334,0.195,5.0,-17.027,0.0,0.358,109.436,3.0,baroque,0.0
99,5k5Rffj0reYysJHo76YyXg,0.3,0.126,8.0,-20.448,1.0,0.21,106.083,3.0,baroque,0.0
100,6s79s5Q0Qv8UWolJIDYtDC,0.242,0.141,8.0,-19.473,0.0,0.455,86.367,4.0,baroque,0.0
101,4Rc7uOPa8yeZAlSkmstnND,0.411,0.185,8.0,-17.311,0.0,0.254,117.062,3.0,baroque,0.0
102,2ofI7uwCMteWoaUnMELUP4,0.147,0.127,8.0,-20.535,0.0,0.311,75.386,3.0,baroque,0.0
103,284Q8c0lEON9M2XXpsEDCP,0.48,0.194,1.0,-17.349,1.0,0.325,106.515,3.0,baroque,0.0
104,75mmFbGuTaYjA4XWcC1D2j,0.286,0.0527,2.0,-27.594,1.0,0.0717,67.255,4.0,baroque,0.0
105,03tWsnJSIb83jdZaaXzNoD,0.257,0.0421,11.0,-22.73,0.0,0.137,103.127,3.0,baroque,0.0
106,2AZcH7bDUA1HBZgvnTOaDW,0.403,0.197,6.0,-17.361,0.0,0.355,111.277,4.0,baroque,0.0
107,1OL8efQgYURj0kGe4YFJ7e,0.26,0.0838,10.0,-25.908,1.0,0.219,70.469,4.0,baroque,0.0
108,6nHW4fHyCcG6ja4jMYSkLl,0.376,0.219,5.0,-17.093,0.0,0.474,118.908,4.0,baroque,0.0
109,4blEso38cYf7A3UJjNyCTX,0.391,0.312,11.0,-18.258,0.0,0.497,82.626,4.0,baroque,0.0
110,00CSmnkJCvB7uOYCobXPtb,0.473,0.155,2.0,-18.664,1.0,0.389,123.925,3.0,baroque,0.0
111,7uCdFiqmlOGUbYPvU3jM7N,0.225,0.1,2.0,-19.014,1.0,0.198,77.011,1.0,baroque,0.0
112,54jY4TmcxuJDBwxyYd6emJ,0.412,0.195,11.0,-20.875,1.0,0.244,124.37,3.0,baroque,0.0
113,66UK6zUA7CCmNGCiyClH2u,0.244,0.111,8.0,-21.995,1.0,0.197,80.321,4.0,baroque,0.0
114,0qXOK6Evv0a2lvDxJiJ6Ew,0.437,0.0509,5.0,-23.064,0.0,0.079,121.338,3.0,baroque,0.0
115,38HuqiGmnvYlntdTnau3xE,0.232,0.0252,10.0,-26.453,0.0,0.0699,131.803,1.0,baroque,0.0
116,5zQGFIeiGTsbIR2dPD37wl,0.271,0.00768,5.0,-34.238,1.0,0.0,140.568,5.0,baroque,0.0
117,6UPA3vvjrlSd8GpNTCNYl3,0.3,0.102,1.0,-23.805,1.0,0.298,95.388,4.0,baroque,0.0
118,5zAiHcrGztKQaYolNoCtmk,0.481,0.366,4.0,-14.196,1.0,0.674,93.558,3.0,baroque,0.0
119,4NFW2OSObAsSr12f7myfVE,0.353,0.1,11.0,-16.971,1.0,0.102,133.554,4.0,baroque,0.0
120,4rjVUu8ILg3Ioy9B3tTtW8,0.267,0.0241,4.0,-21.212,0.0,0.0632,125.394,3.0,baroque,0.0
